segment_id,session_id,source_file,label_source,label_quality,row_count,labelled_rows,coverage_fraction,mean_label_mps,max_label_mps,stationary_fraction,note
71453d0af0d3:000,M,Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,TIER_1_VEHICLE_SYNCED,high,105974,105941,0.9996886028648536,9.919836453680087,27.963680555559094,0.10516230732199998,interpolated from vehicle velocity at offset 3604.367s; 33 row(s) left unlabelled beyond 0.5s of a reference sample
b15d7dcaa47b:000,S1,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,TIER_1_VEHICLE_SYNCED,high,51746,51703,0.999169017895103,7.338959342938709,25.93467499191152,0.11045780709049766,interpolated from vehicle velocity at offset 3604.745s; 43 row(s) left unlabelled beyond 0.5s of a reference sample
5851902ce5d4:000,S2,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,TIER_1_VEHICLE_SYNCED,high,93876,93834,0.9995526013038476,8.041508670763712,29.081361111107064,0.13378945797898417,interpolated from vehicle velocity at offset 3604.295s; 42 row(s) left unlabelled beyond 0.5s of a reference sample
274a8da537e3:000,S3A,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,TIER_1_VEHICLE_SYNCED,high,24621,24508,0.9954104219974819,10.542351623506393,27.226944444409522,0.08890974375714053,interpolated from vehicle velocity at offset 3604.794s; 113 row(s) left unlabelled beyond 0.5s of a reference sample
5b2fbe40e507:000,S3B,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,TIER_1_VEHICLE_SYNCED,high,6813,6769,0.993541758403053,5.563745932436934,12.399080555576925,0.08612793617964248,interpolated from vehicle velocity at offset 3604.357s; 44 row(s) left unlabelled beyond 0.5s of a reference sample
45a91123027b:000,S3C,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,TIER_1_VEHICLE_SYNCED,high,37183,37143,0.9989242395718474,11.764916096524862,32.5336388889061,0.07850739035619093,interpolated from vehicle velocity at offset 3604.720s; 40 row(s) left unlabelled beyond 0.5s of a reference sample
4a3b9065b673:000,S4,Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,TIER_2_VEHICLE_CLOCK,medium,94600,91466,0.9668710359408034,9.597738737086702,30.43883194444708,0.16069359106115932,interpolated from vehicle velocity at offset 3758.314s; 3134 row(s) left unlabelled beyond 0.5s of a reference sample
c743ad854bd5:000,VFA01,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,TIER_1_VEHICLE_SYNCED,high,11486,11486,1.0,16.33196296602624,27.324444444444445,0.060769632596204076,interpolated from vehicle velocity at offset 3.386s; 0 row(s) left unlabelled beyond 0.5s of a reference sample
65348172ad4e:000,VFA02,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,TIER_1_VEHICLE_SYNCED,high,67523,67523,1.0,24.154853808208554,32.74913055559754,0.014987485745597797,interpolated from vehicle velocity at offset 3.749s; 0 row(s) left unlabelled beyond 0.5s of a reference sample
25e382fbbc34:000,VTA1A,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,TIER_1_VEHICLE_SYNCED,high,25676,25532,0.9943916497896869,15.857057669786947,28.73431527777514,0.009164969450101833,interpolated from vehicle velocity at offset 0.762s; 144 row(s) left unlabelled beyond 0.5s of a reference sample
b98958cc351e:000,VTA1B,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,TIER_1_VEHICLE_SYNCED,high,954,951,0.9968553459119497,13.205767136932053,21.576388888888708,0.016824395373291272,interpolated from vehicle velocity at offset 0.713s; 3 row(s) left unlabelled beyond 0.5s of a reference sample
